,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari
20,EncDecA,10,4.648884999999999,0.20850100000000013,0.2423110000000001,EncDecA,10,5.418107999999998,0.20879600000000006,0.2421990000000003,EncDecA,10,4.896575000000001,0.209715,0.24309499999999992,EncDecA,10,4.439341000000002,0.20690500000000012,0.24395599999999995,EncDecA,10,4.653862999999999,0.20895099999999997,0.24315599999999984,EncDecA,10,5.411484000000001,0.20891599999999996,0.24304399999999984
21,EncDecA,20,4.186143,0.20515599999999984,0.24348700000000023,EncDecA,20,5.334065999999992,0.20558399999999996,0.24321500000000018,EncDecA,20,4.6786749999999975,0.20752099999999993,0.2450430000000003,EncDecA,20,3.767587,0.20173700000000008,0.24668700000000027,EncDecA,20,4.194173999999997,0.2059119999999999,0.2451340000000002,EncDecA,20,5.318732,0.205891,0.24490900000000024
22,EncDecA,30,3.7239729999999986,0.20199100000000006,0.2446650000000002,EncDecA,30,5.250991000000003,0.2025250000000001,0.24423299999999976,EncDecA,30,4.459332,0.20525599999999986,0.24691800000000005,EncDecA,30,3.0967479999999994,0.19666499999999995,0.2494770000000001,EncDecA,30,3.735761999999998,0.20271200000000003,0.24705899999999992,EncDecA,30,5.227696000000002,0.20293900000000004,0.24679200000000012
23,EncDecA,40,3.2627310000000005,0.19856799999999986,0.24575899999999962,EncDecA,40,5.169779999999999,0.19946999999999993,0.24525700000000014,EncDecA,40,4.243324000000004,0.2029789999999999,0.24879999999999974,EncDecA,40,2.4320649999999997,0.19179899999999997,0.25212499999999993,EncDecA,40,3.2779250000000015,0.1996570000000001,0.24893699999999977,EncDecA,40,5.137240000000003,0.19996799999999998,0.2486439999999998
24,EncDecA,50,2.8027759999999997,0.19534899999999986,0.246943,EncDecA,50,5.088442,0.19637800000000002,0.24622000000000002,EncDecA,50,4.024317999999999,0.2008119999999999,0.2507289999999999,EncDecA,50,1.7692309999999989,0.18648599999999996,0.2547969999999999,EncDecA,50,2.8168909999999996,0.19650099999999993,0.25084900000000016,EncDecA,50,5.049313999999999,0.1968139999999999,0.2504579999999999
25,EncDecA,60,2.341568999999999,0.19228900000000004,0.2480940000000002,EncDecA,60,5.008100999999997,0.1934380000000001,0.24722599999999978,EncDecA,60,3.8076509999999986,0.1985890000000001,0.25251700000000027,EncDecA,60,1.1063569999999998,0.18170599999999998,0.257315,EncDecA,60,2.3532249999999992,0.19323699999999996,0.25274900000000006,EncDecA,60,4.975216999999999,0.19377900000000006,0.252316
26,EncDecA,70,2.2720350000000007,0.1890689999999999,0.24916899999999995,EncDecA,70,4.929373999999996,0.19047200000000003,0.24824800000000016,EncDecA,70,3.590132000000001,0.19623299999999996,0.2543960000000001,EncDecA,70,0.8366419999999996,0.176937,0.2600070000000001,EncDecA,70,2.289331000000001,0.19035800000000003,0.2546439999999999,EncDecA,70,4.971496,0.19099900000000003,0.25408100000000006
27,EncDecA,80,1.8129210000000002,0.18592499999999995,0.2502759999999997,EncDecA,80,4.851199999999997,0.187532,0.249244,EncDecA,80,3.3729670000000005,0.19408199999999998,0.2562959999999998,EncDecA,80,0.18028400000000006,0.17180100000000006,0.26254799999999984,EncDecA,80,1.8263460000000002,0.18720899999999996,0.2564499999999999,EncDecA,80,5.100185999999998,0.18784900000000002,0.2558280000000001
28,EncDecA,90,1.7471809999999997,0.18271600000000002,0.2513990000000001,EncDecA,90,4.773585000000002,0.184521,0.2502099999999999,EncDecA,90,3.1556520000000012,0.19168699999999997,0.25810099999999975,EncDecA,90,-0.08416200000000001,0.166837,0.26502400000000015,EncDecA,90,1.7558940000000007,0.1840740000000001,0.2583810000000001,EncDecA,90,5.062842000000001,0.184663,0.2576
29,EncDecA,100,1.2888680000000001,0.179452,0.2525180000000003,EncDecA,100,4.696701999999998,0.18174399999999996,0.25115500000000024,EncDecA,100,2.9381999999999966,0.18950000000000003,0.2599000000000007,EncDecA,100,-0.7364760000000002,0.162162,0.2675890000000003,EncDecA,100,1.296557,0.18078399999999997,0.26008400000000004,EncDecA,100,4.967112,0.18158300000000005,0.2593269999999998
